pkid,method,layers,culled_depth,num_params
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
1,PenaltySolver,5,80,10
2,PenaltySolver,5,469,10
2,PenaltySolver,5,469,10
2,PenaltySolver,5,479,10
2,PenaltySolver,5,479,10
2,PenaltySolver,5,459,10
2,PenaltySolver,5,479,10
2,PenaltySolver,5,489,10
2,PenaltySolver,5,459,10
2,PenaltySolver,5,481,10
2,PenaltySolver,5,459,10
2,PenaltySolver,5,489,10
2,PenaltySolver,5,481,10
2,PenaltySolver,5,479,10
2,PenaltySolver,5,481,10
2,PenaltySolver,5,481,10
2,PenaltySolver,5,469,10
2,PenaltySolver,5,469,10
2,PenaltySolver,5,479,10
2,PenaltySolver,5,479,10
2,PenaltySolver,5,459,10
2,PenaltySolver,5,479,10
2,PenaltySolver,5,489,10
2,PenaltySolver,5,459,10
2,PenaltySolver,5,481,10
2,PenaltySolver,5,459,10
2,PenaltySolver,5,489,10
2,PenaltySolver,5,481,10
2,PenaltySolver,5,479,10
