Circuit Name,Qubit Num,Gate Num,method,lay,cx_ideal,cx_constrained,cx_added,depth_ideal,depth_constrained,seed,layout_time_s,transpile_time_s,size
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,5142,0.000751,0.002690,52
decod24-v2_43,4,52,dense,True,22,52,30,30,52,5142,0.000768,0.003684,82
decod24-v2_43,4,52,trivial,True,22,46,24,30,48,5242,0.000419,0.003587,76
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,5242,0.001499,0.002657,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,5242,0.000810,0.002602,52
decod24-v2_43,4,52,dense,True,22,61,39,30,56,5242,0.000782,0.003785,91
decod24-v2_43,4,52,trivial,True,22,67,45,30,77,5342,0.000419,0.003839,97
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,5342,0.001703,0.002657,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,5342,0.000868,0.002586,52
decod24-v2_43,4,52,dense,True,22,43,21,30,43,5342,0.000773,0.003599,73
decod24-v2_43,4,52,trivial,True,22,67,45,30,74,5442,0.000419,0.003840,97
decod24-v2_43,4,52,sabre,True,22,31,9,30,41,5442,0.001553,0.003513,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,5442,0.000816,0.002607,52
decod24-v2_43,4,52,dense,True,22,49,27,30,48,5442,0.000758,0.003583,79
decod24-v2_43,4,52,trivial,True,22,70,48,30,80,5542,0.000423,0.003871,100
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,5542,0.001531,0.002702,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,5542,0.000775,0.002544,52
decod24-v2_43,4,52,dense,True,22,70,48,30,80,5542,0.000819,0.003809,100
decod24-v2_43,4,52,trivial,True,22,64,42,30,75,5642,0.000437,0.003884,94
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,5642,0.001658,0.002705,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,5642,0.000777,0.002497,52
decod24-v2_43,4,52,dense,True,22,43,21,30,46,5642,0.000861,0.003513,73
decod24-v2_43,4,52,trivial,True,22,64,42,30,74,5742,0.000418,0.003849,94
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,5742,0.001760,0.002728,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,5742,0.000772,0.002644,52
decod24-v2_43,4,52,dense,True,22,79,57,30,88,5742,0.000780,0.003867,109
decod24-v2_43,4,52,trivial,True,22,64,42,30,72,5842,0.000423,0.003789,94
decod24-v2_43,4,52,sabre,True,22,31,9,30,41,5842,0.001916,0.003514,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,5842,0.000783,0.002616,52
decod24-v2_43,4,52,dense,True,22,70,48,30,80,5842,0.000826,0.003729,100
decod24-v2_43,4,52,trivial,True,22,46,24,30,51,5942,0.000434,0.003871,76
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,5942,0.001716,0.002635,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,5942,0.000796,0.002545,52
decod24-v2_43,4,52,dense,True,22,52,30,30,50,5942,0.000754,0.003642,82
decod24-v2_43,4,52,trivial,True,22,67,45,30,79,6042,0.000437,0.003973,97
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,6042,0.001586,0.002577,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,6042,0.000834,0.002548,52
decod24-v2_43,4,52,dense,True,22,43,21,30,40,6042,0.000759,0.003610,73
decod24-v2_43,4,52,trivial,True,22,70,48,30,82,6142,0.000426,0.003945,100
decod24-v2_43,4,52,sabre,True,22,31,9,30,41,6142,0.001550,0.003493,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,6142,0.000800,0.002639,52
decod24-v2_43,4,52,dense,True,22,49,27,30,50,6142,0.000763,0.003562,79
decod24-v2_43,4,52,trivial,True,22,46,24,30,52,6242,0.000417,0.003833,76
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,6242,0.001504,0.002668,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,6242,0.000778,0.002557,52
decod24-v2_43,4,52,dense,True,22,55,33,30,51,6242,0.000782,0.003659,85
decod24-v2_43,4,52,trivial,True,22,46,24,30,51,6342,0.000433,0.003819,76
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,6342,0.001677,0.002524,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,6342,0.000775,0.002511,52
decod24-v2_43,4,52,dense,True,22,73,51,30,76,6342,0.000765,0.003824,103
decod24-v2_43,4,52,trivial,True,22,46,24,30,48,6442,0.000431,0.003740,76
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,6442,0.001537,0.002668,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,6442,0.000758,0.002549,52
decod24-v2_43,4,52,dense,True,22,73,51,30,80,6442,0.000745,0.003934,103
decod24-v2_43,4,52,trivial,True,22,46,24,30,48,6542,0.000451,0.003744,76
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,6542,0.001761,0.002553,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,6542,0.000813,0.002530,52
decod24-v2_43,4,52,dense,True,22,67,45,30,66,6542,0.000793,0.003782,97
decod24-v2_43,4,52,trivial,True,22,67,45,30,80,6642,0.000435,0.003801,97
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,6642,0.001674,0.002588,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,6642,0.000811,0.002575,52
