pkid,method,layers,culled_depth,num_params
3,PenaltySolver,5,152,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,152,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,152,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,152,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,152,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,152,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,152,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,152,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,152,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,152,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,152,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,152,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,152,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,152,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,152,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,152,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,152,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,152,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,152,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,162,10
3,PenaltySolver,5,152,10
